,endTime,artistName,trackName,msPlayed
327,2019-09-02 23:08,blackbear,hot girl bummer,185093
328,2019-09-02 23:11,The Social Club,Cheap Pop,208399
329,2019-09-02 23:12,Panic! At The Disco,Introduction,17765
330,2019-09-02 23:15,The Band CAMINO,Something To Hold On To,220370
331,2019-09-02 23:17,Bruno Mars,Finesse - Remix; feat. Cardi B,72884
332,2019-09-02 23:19,MisterWives,Never Give Up On Me,115623
333,2019-09-02 23:19,half•alive,TrusT,2972
334,2019-09-02 23:22,Quinn XCII,Stacy - Acoustic,182186
335,2019-09-02 23:26,AJR,Don't Throw Out My Legos,250839
336,2019-09-02 23:29,flor,little light one,212000
337,2019-09-02 23:32,Two Door Cinema Club,I Can Talk,177426
338,2019-09-02 23:35,Elton John,Tiny Dancer,1091
339,2019-09-02 23:35,Mashrou' Leila,Aoede,167805
340,2019-09-02 23:38,MisterWives,Never Give Up On Me,174266
341,2019-09-02 23:41,Sum 41,Fat Lip,178266
342,2019-09-02 23:44,blackbear,1 SIDED LOVE,170666
343,2019-09-02 23:44,Panic! At The Disco,The Only Difference Between Martyrdom and Suicide Is Press Coverage,4494
344,2019-09-02 23:46,5 Seconds of Summer,She's Kinda Hot,121939
345,2019-09-03 14:42,Post Malone,Over Now,234
346,2019-09-03 14:45,Post Malone,Goodbyes (Feat. Young Thug),174960
347,2019-09-03 14:46,Cavetown,Talk to Me,113969
348,2019-09-03 14:51,Weezer,Thank God for Girls,2602
349,2019-09-03 14:51,WALK THE MOON,Lose You Again,123584
350,2019-09-03 14:53,Quinn XCII,Always Been You,33813
351,2019-09-03 14:53,Avril Lavigne,Smile,93482
352,2019-09-03 14:54,Avril Lavigne,Smile,25151
353,2019-09-03 14:55,Von Wegen Lisbeth,Lang lebe die Störung im Betriebsablauf,70784
354,2019-09-03 14:55,MisterWives,whywhywhy,874
355,2019-09-03 14:55,The All-American Rejects,Gen Why? (DGAF),874
356,2019-09-03 14:58,Spencer Sutherland,Wallpaper,168988
357,2019-09-03 15:01,flor,money,185000
358,2019-09-03 15:05,half•alive,ok ok?,228533
359,2019-09-03 15:05,AJR,Drama - Recorded at Spotify Studios NYC,212
360,2019-09-03 16:29,Von Wegen Lisbeth,Lang lebe die Störung im Betriebsablauf,67932
361,2019-09-03 16:33,Quinn XCII,Always Been You,235720
362,2019-09-03 16:37,Avril Lavigne,Smile,209520
363,2019-09-03 16:40,Avril Lavigne,What the Hell,220706
364,2019-09-03 16:44,Post Malone,Over Now,246986
365,2019-09-03 16:47,Post Malone,Goodbyes (Feat. Young Thug),174960
366,2019-09-03 16:52,Cavetown,Talk to Me,277327
367,2019-09-03 16:54,WALK THE MOON,Lose You Again,102371
368,2019-09-03 16:58,Quinn XCII,Always Been You,235720
369,2019-09-03 16:58,Avril Lavigne,Smile,46148
370,2019-09-03 17:02,Bazzi,No Way!,917
371,2019-09-03 17:02,Weezer,Thank God for Girls,768
372,2019-09-03 17:02,The Band CAMINO,Something To Hold On To,704
373,2019-09-03 17:02,WALK THE MOON,Lose You Again,576
374,2019-09-03 17:02,Cavetown,Talk to Me,196800
375,2019-09-03 17:02,Weezer,Can't Knock The Hustle,960
376,2019-09-03 17:02,Quinn XCII,Stacy - Acoustic,704
377,2019-09-03 17:05,Quinn XCII,Stacy - Acoustic,182186
378,2019-09-03 17:06,Bazzi,No Way!,41526
379,2019-09-03 17:06,Chris Jobe,Bad Look Good,2069
380,2019-09-03 17:07,blackbear,hot girl bummer,70314
381,2019-09-03 17:07,half•alive,TrusT,13504
382,2019-09-03 17:07,Avril Lavigne,Complicated,1642
383,2019-09-03 17:07,Avril Lavigne,What the Hell,1514
384,2019-09-03 17:11,Quinn XCII,Always Been You,228864
385,2019-09-03 17:12,Eric Nam,Perhaps Love,79957
386,2019-09-03 17:13,PWR BTTM,Serving Goffman,37589
387,2019-09-03 17:15,Green Day,Still Breathing,142314
388,2019-09-03 20:52,Weezer,Can't Knock The Hustle,7801
389,2019-09-03 20:55,Quinn XCII,Stacy - Acoustic,182186
390,2019-09-03 20:57,Bazzi,No Way!,112105
391,2019-09-03 21:00,Chris Jobe,Bad Look Good,174146
392,2019-09-03 21:03,blackbear,hot girl bummer,185093
393,2019-09-03 21:06,Chris Jobe,Bad Look Good,928
394,2019-09-03 21:06,half•alive,TrusT,1428
